@relation 'Suicide_Detection-weka.filters.unsupervised.instance.Resample-S42-Z5.0-no-replacement-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P66.0-V-weka.filters.unsupervised.attribute.StringToWordVector-R1-W1500-prune-rate-1.0-N0-L-stemmerweka.core.stemmers.NullStemmer-stopwords-handlerweka.core.stopwords.Null-M1-tokenizerweka.core.tokenizers.WordTokenizer -delimiters \" \\r\\n\\t.,;:\\\'\\\"()?!\"-dictionaryhiztegia.txt-weka.filters.unsupervised.instance.SparseToNonSparse-weka.filters.unsupervised.attribute.Reorder-R2-last,1-weka.filters.unsupervised.attribute.Remove-V-R1-1499,1502-1958,1967-weka.filters.unsupervised.attribute.RemoveByName-E.*[a-zA-Z0-9]+.*-V-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -9.223372036854776E18 -N 151-weka.filters.unsupervised.attribute.Reorder-Rfirst-last'

@attribute myself numeric
@attribute life numeric
@attribute to numeric
@attribute want numeric
@attribute feel numeric
@attribute anymore numeric
@attribute don numeric
@attribute suicide numeric
@attribute kill numeric
@attribute my numeric
@attribute me numeric
@attribute die numeric
@attribute it numeric
@attribute be numeric
@attribute of numeric
@attribute ve numeric
@attribute just numeric
@attribute and numeric
@attribute suicidal numeric
@attribute but numeric
@attribute end numeric
@attribute no numeric
@attribute live numeric
@attribute been numeric
@attribute have numeric
@attribute can numeric
@attribute family numeric
@attribute know numeric
@attribute that numeric
@attribute this numeric
@attribute for numeric
@attribute the numeric
@attribute do numeric
@attribute going numeric
@attribute with numeric
@attribute everything numeric
@attribute up numeric
@attribute in numeric
@attribute even numeric
@attribute much numeric
@attribute not numeric
@attribute living numeric
@attribute better numeric
@attribute is numeric
@attribute all numeric
@attribute depression numeric
@attribute never numeric
@attribute only numeric
@attribute pain numeric
@attribute years numeric
@attribute about numeric
@attribute because numeric
@attribute point numeric
@attribute nothing numeric
@attribute now numeric
@attribute at numeric
@attribute thoughts numeric
@attribute am numeric
@attribute things numeric
@attribute alone numeric
@attribute tired numeric
@attribute tried numeric
@attribute will numeric
@attribute way numeric
@attribute out numeric
@attribute would numeric
@attribute help numeric
@attribute keep numeric
@attribute job numeric
@attribute think numeric
@attribute killing numeric
@attribute being numeric
@attribute go numeric
@attribute depressed numeric
@attribute time numeric
@attribute through numeric
@attribute really numeric
@attribute friends numeric
@attribute or numeric
@attribute cant numeric
@attribute alive numeric
@attribute care numeric
@attribute always numeric
@attribute what numeric
@attribute death numeric
@attribute done numeric
@attribute so numeric
@attribute worse numeric
@attribute like numeric
@attribute anything numeric
@attribute there numeric
@attribute right numeric
@attribute too numeric
@attribute one numeric
@attribute was numeric
@attribute feeling numeric
@attribute get numeric
@attribute last numeric
@attribute wish numeric
@attribute hurt numeric
@attribute over numeric
@attribute away numeric
@attribute work numeric
@attribute dead numeric
@attribute take numeric
@attribute when numeric
@attribute enough numeric
@attribute everyone numeric
@attribute people numeric
@attribute here numeric
@attribute thought numeric
@attribute they numeric
@attribute fucking numeric
@attribute off numeric
@attribute https numeric
@attribute again numeric
@attribute ll numeric
@attribute try numeric
@attribute than numeric
@attribute happy numeric
@attribute from numeric
@attribute them numeric
@attribute could numeric
@attribute few numeric
@attribute pills numeric
@attribute how numeric
@attribute trying numeric
@attribute ever numeric
@attribute more numeric
@attribute before numeric
@attribute if numeric
@attribute thinking numeric
@attribute self numeric
@attribute maybe numeric
@attribute where numeric
@attribute hate numeric
@attribute scared numeric
@attribute leave numeric
@attribute gone numeric
@attribute on numeric
@attribute had numeric
@attribute worth numeric
@attribute see numeric
@attribute burden numeric
@attribute anxiety numeric
@attribute long numeric
@attribute therapy numeric
@attribute any numeric
@attribute future numeric
@attribute has numeric
@attribute hospital numeric
@attribute klasea {suicide,non-suicide}

@data
0,1,1,1,0,0,0,1,0,1,1,1,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,suicide
0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,suicide
0,0,1,1,1,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,non-suicide
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,non-suicide
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,non-suicide
0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,non-suicide
1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,non-suicide
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,non-suicide
0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,suicide
0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,non-suicide
